x_time,px_estimate,py_estimate,vx_estimate,vy_estimate,x_position,y_position,x_velocity,y_velocity,target_speed
0,0.22,0.22,0.22,0.22,-0.0,0.0,0.0,0.0,8.5
0.1,-0.22,-0.21,-0.12,-0.2,-0.0,0.0,0.0,0.0,8.5
0.2,-0.14,-0.16,0.14,-0.16,-0.0,0.0,0.0,0.0,8.5
0.3,-0.11,-0.15,0.41,-0.12,-0.0,0.0,0.0,-0.0,8.5
0.4,0.04,-0.06,0.9,-0.03,-0.0,0.0,0.0,-0.0,8.5
0.5,0.09,-0.07,1.28,0.0,-0.0,0.0,-0.0,-0.0,8.5
0.6,0.09,-0.16,1.61,-0.08,-0.0,0.0,0.0,0.0,8.5
0.7,0.24,-0.25,2.21,-0.22,-0.0,0.0,-0.0,0.0,8.5
0.8,0.6,-0.2,3.15,-0.11,-0.0,0.0,0.0,-0.0,8.5
0.9,0.76,-0.05,3.58,0.25,-0.0,0.0,0.0,-0.0,8.5
1.0,0.28,-0.04,2.63,0.31,-0.0,0.0,-0.0,0.0,8.5
1.1,0.63,0.13,3.57,0.64,-0.0,0.0,0.0,-0.0,8.5
1.2,0.67,0.1,3.72,0.49,-0.0,0.0,-0.0,0.0,8.5
1.3,1.01,0.09,4.51,0.39,-0.0,0.0,0.0,-0.0,8.5
1.4,0.59,0.09,3.54,0.31,-0.0,0.0,0.0,0.0,8.5
1.5,0.42,-0.04,3.25,-0.05,-0.0,0.0,0.0,0.0,8.5
1.6,0.92,0.09,4.44,0.25,-0.0,0.0,0.0,-0.0,8.5
1.7,0.59,-0.06,3.68,-0.13,-0.0,0.0,0.0,0.0,8.5
1.8,0.33,0.02,3.18,0.05,0.0,0.0,0.11,0.03,8.5
1.9,0.22,0.06,3.05,0.12,0.01,0.0,0.22,0.03,8.5
2.0,0.43,-0.0,3.65,-0.03,0.02,0.01,0.34,0.06,8.5
2.1,0.85,-0.08,4.66,-0.21,0.04,0.01,0.43,0.09,8.5
2.2,1.01,0.02,4.94,0.05,0.08,0.02,0.64,0.15,8.5
2.3,1.29,0.08,5.45,0.18,0.1,0.03,0.76,0.16,8.5
2.4,1.5,0.24,5.74,0.49,0.13,0.03,0.85,0.19,8.5
2.5,0.86,0.26,4.1,0.49,0.2,0.04,1.07,0.16,8.5
2.6,0.9,0.14,4.15,0.16,0.24,0.05,1.19,0.11,8.5
2.7,1.25,0.23,4.9,0.35,0.33,0.06,1.39,0.14,8.5
2.8,1.55,0.16,5.42,0.15,0.38,0.06,1.46,0.18,8.5
2.9,1.31,-0.07,4.69,-0.37,0.43,0.07,1.57,0.24,8.5
3.0,1.33,-0.16,4.6,-0.51,0.49,0.08,1.66,0.22,8.5
3.1,1.36,-0.04,4.56,-0.16,0.54,0.09,1.77,0.26,8.5
3.2,1.16,0.17,4.02,0.35,0.61,0.1,1.83,0.32,8.5
3.3,1.29,0.46,4.29,0.96,0.67,0.12,1.93,0.39,8.5
3.4,1.05,0.49,3.68,0.93,0.74,0.13,1.99,0.46,8.5
3.5,1.13,0.43,3.87,0.71,0.81,0.15,2.11,0.44,8.5
3.6,1.16,0.25,3.93,0.26,0.88,0.16,2.2,0.39,8.5
3.7,1.24,0.11,4.11,-0.07,1.04,0.18,2.4,0.28,8.5
3.8,1.52,0.09,4.71,-0.05,1.12,0.2,2.5,0.36,8.5
3.9,1.78,0.21,5.16,0.26,1.21,0.21,2.56,0.44,8.5
4.0,2.1,0.23,5.71,0.31,1.29,0.23,2.65,0.52,8.5
4.1,2.32,0.27,5.95,0.4,1.38,0.25,2.7,0.6,8.5
4.2,2.66,0.23,6.39,0.31,1.48,0.27,2.82,0.6,8.5
4.3,2.87,0.2,6.5,0.28,1.57,0.29,2.9,0.6,8.5
4.4,2.42,0.12,5.13,0.13,1.67,0.31,3.01,0.6,8.5
4.5,2.4,0.34,4.86,0.68,1.78,0.34,3.08,0.63,8.5
4.6,2.19,0.18,4.19,0.31,1.88,0.36,3.19,0.68,8.5
4.7,1.97,0.04,3.59,0.03,1.99,0.39,3.25,0.75,8.5
4.8,2.3,0.02,4.32,0.06,2.1,0.41,3.36,0.73,8.5
4.9,2.67,0.03,5.02,0.16,2.22,0.44,3.43,0.78,8.5
5.0,3.04,0.11,5.64,0.42,2.33,0.47,3.52,0.86,8.5
5.1,3.05,0.29,5.39,0.87,2.45,0.5,3.56,0.95,8.5
5.2,2.85,0.39,4.68,1.07,2.57,0.54,3.65,1.02,8.5
5.3,3.19,0.53,5.28,1.35,2.7,0.57,3.74,1.02,8.5
5.4,2.96,0.35,4.52,0.9,2.83,0.61,3.85,0.98,8.5
5.5,3.37,0.65,5.28,1.53,2.96,0.63,3.94,0.9,8.5
5.6,3.83,0.64,6.05,1.42,3.09,0.66,4.04,0.83,8.5
5.7,3.66,0.84,5.32,1.77,3.23,0.69,4.12,0.86,8.5
5.8,3.99,0.99,5.79,1.97,3.37,0.72,4.23,0.84,8.5
5.9,4.22,0.96,5.95,1.74,3.51,0.74,4.28,0.78,8.5
6.0,4.22,1.03,5.61,1.75,3.66,0.76,4.3,0.7,8.5
6.1,4.32,1.27,5.51,2.11,3.8,0.78,4.28,0.6,8.5
6.2,4.44,0.98,5.45,1.27,3.94,0.8,4.3,0.51,8.5
6.3,4.38,1.2,5.01,1.65,4.09,0.81,4.28,0.42,8.5
6.4,4.97,1.15,6.08,1.38,4.23,0.81,4.34,0.31,8.5
6.5,4.85,1.12,5.42,1.17,4.38,0.82,4.44,0.29,8.5
6.6,4.94,0.88,5.32,0.53,4.69,0.83,4.65,0.19,8.5
6.7,5.27,1.02,5.75,0.79,5.01,0.84,4.86,0.13,8.5
6.8,5.88,1.12,6.75,0.93,5.17,0.84,4.97,0.15,8.5
6.9,6.05,1.12,6.64,0.85,5.34,0.85,5.06,0.2,8.5
7.0,6.28,1.13,6.67,0.77,5.52,0.85,5.25,0.18,8.5
7.1,6.21,0.92,6.03,0.23,5.69,0.86,5.25,0.17,8.5
7.2,6.49,0.92,6.24,0.2,5.88,0.86,5.54,0.11,8.5
7.3,6.41,1.16,5.61,0.72,6.05,0.86,5.32,0.09,8.5
7.4,6.76,1.24,6.01,0.83,6.24,0.87,5.64,0.26,8.5
7.5,6.9,1.24,5.91,0.73,6.44,0.88,5.91,0.28,8.5
7.6,7.14,0.89,6.03,-0.14,6.63,0.89,5.76,0.17,8.5
7.7,7.24,1.13,5.84,0.42,6.84,0.89,6.08,0.07,8.5
7.8,7.27,1.14,5.53,0.38,7.05,0.89,6.3,0.04,8.5
7.9,7.67,1.24,6.04,0.56,7.25,0.89,6.17,0.13,8.5
8.0,7.82,1.25,5.96,0.5,7.47,0.9,6.49,0.11,8.5
8.1,8.27,1.17,6.54,0.27,7.69,0.9,6.68,0.1,8.5
8.2,8.44,1.13,6.44,0.13,7.91,0.9,6.62,0.03,8.5
8.3,8.1,1.07,5.21,-0.03,8.14,0.9,6.92,0.0,8.5
8.4,8.36,1.26,5.45,0.39,8.37,0.9,6.95,0.03,8.5
8.5,8.34,1.28,5.07,0.38,8.61,0.9,7.21,0.11,8.5
8.6,8.76,1.36,5.7,0.51,8.85,0.91,7.1,0.17,8.5
8.7,9.19,1.29,6.28,0.28,9.1,0.91,7.39,0.08,8.5
8.8,9.79,1.11,7.15,-0.16,9.35,0.92,7.49,0.05,8.5
8.9,9.95,1.29,6.94,0.26,9.6,0.91,7.61,-0.04,8.5
9.0,10.29,1.19,7.15,-0.01,9.86,0.91,7.7,-0.02,8.5
9.1,10.25,1.28,6.48,0.17,10.12,0.92,7.79,0.12,8.5
9.2,10.73,1.16,7.05,-0.12,10.38,0.92,7.96,0.04,8.5
9.3,10.85,0.95,6.72,-0.56,10.65,0.92,8.09,0.11,8.5
9.4,11.12,1.04,6.77,-0.28,10.92,0.93,8.17,0.08,8.5
9.5,11.35,0.78,6.72,-0.82,11.2,0.93,8.27,0.17,8.5
9.6,11.65,0.89,6.84,-0.47,11.48,0.94,8.41,0.26,8.5
9.7,11.77,0.84,6.53,-0.5,11.76,0.95,8.53,0.34,8.5
9.8,11.94,0.62,6.37,-0.89,12.05,0.97,8.6,0.46,8.5
9.9,12.26,0.68,6.55,-0.62,12.34,0.99,8.69,0.57,8.5
10.0,13.0,0.55,7.65,-0.79,12.93,1.05,8.9,0.87,8.5
10.1,13.52,0.66,8.09,-0.38,13.23,1.09,8.97,1.01,8.5
10.2,14.2,0.86,8.77,0.16,13.83,1.18,9.16,1.32,8.5
10.3,14.89,0.93,9.31,0.34,14.14,1.23,9.25,1.4,8.5
10.4,15.07,1.21,8.53,0.95,14.45,1.28,9.33,1.5,8.5
10.5,15.33,0.95,7.95,0.3,15.08,1.38,9.52,1.53,8.5
10.6,15.62,1.19,7.5,0.81,15.39,1.43,9.32,1.45,8.5
10.7,16.02,1.17,7.36,0.71,15.71,1.47,9.46,1.38,8.5
10.8,16.57,1.22,7.6,0.76,16.02,1.52,9.38,1.44,8.5
10.9,17.0,1.3,7.55,0.88,16.34,1.56,9.47,1.35,8.5
11.0,16.85,1.43,6.24,1.1,16.65,1.6,9.34,1.31,8.5
11.1,16.98,1.48,5.74,1.12,16.96,1.64,9.32,1.24,8.5
11.2,17.02,1.72,5.14,1.54,17.58,1.71,9.28,1.01,8.5
11.3,17.46,1.93,5.51,1.82,17.89,1.74,9.26,0.86,8.5
11.4,18.06,1.86,6.24,1.46,18.51,1.77,9.26,0.5,8.5
11.5,18.65,1.85,6.88,1.25,18.81,1.77,9.26,0.27,8.5
11.6,18.99,1.88,6.89,1.17,19.12,1.77,9.25,0.02,8.5
11.7,19.57,1.78,7.46,0.77,19.43,1.76,9.26,-0.17,8.5
11.8,20.01,1.85,7.62,0.81,20.05,1.73,9.31,-0.47,8.5
11.9,20.54,1.8,7.98,0.56,20.36,1.71,9.34,-0.54,8.5
12.0,20.68,1.7,7.38,0.23,20.67,1.68,9.37,-0.66,8.5
12.1,20.85,1.63,6.92,0.01,20.99,1.65,9.39,-0.79,8.5
12.2,21.32,1.82,7.21,0.38,21.3,1.62,9.43,-0.87,8.5
12.3,21.73,1.77,7.33,0.16,21.62,1.59,9.46,-0.89,8.5
12.4,22.36,1.74,7.93,0.02,21.93,1.56,9.5,-0.9,8.5
12.5,22.85,1.83,8.12,0.16,22.25,1.53,9.52,-0.99,8.5
12.6,23.02,1.99,7.54,0.43,22.57,1.5,9.56,-1.04,8.5
12.7,23.01,1.73,6.64,-0.26,22.89,1.46,9.61,-1.06,8.5
12.8,23.16,1.51,6.22,-0.78,23.21,1.42,9.64,-1.12,8.5
